"","id","TestId","AddId","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"419","20160509_results","A2735","III",0,TRUE,"logistic",FALSE,FALSE,100,5.98336512672659e-05,6760.04051554122,0.443776148192889,110819.32129141,2.51467162370519e-05,1790.46442412612,0.00753444865784873,1.84673030573155e-05,0.000101199999477216,3814.72653785375,9705.35449322869,0.431381980150728,0.45617031623505,1.05460874426441e-05,0.000109121215091888,3250.73024425402,10269.3507868284,0.429008628823505,0.458543667562272,5.24891172934768e-05,6574.40163840959,0.756116723888393,111006.069586911,5.14114863866262e-05,6013.17186527653,0.75563471811651,110725.320094445,7.16092701839879e-06,3599.92029444027,0.000661027610355473,373.759693257598,3.96317614413602e-05,6.31912113318922e-05,91.3029809222944,11935.0407496308,0.754547327697476,0.756722108535545,110110.485399036,111340.154789853,3.73760694305646e-05,6.54469033426878e-05,-1042.67191182639,13069.0156423795,0.754339104000214,0.756930332232807,109992.75109566,111457.88909323
"420","20160509_results","A2707","III",0,TRUE,"logistic",FALSE,FALSE,100,5.15934381417282e-05,6674.42283733252,0.491175330554109,122174.979447082,1.26094586795391e-05,1335.97427529452,0.00551805674994719,3.08508786138864e-05,7.23359976695701e-05,4476.74515447303,8872.10052019201,0.482098127200446,0.500252533907773,2.68788991298316e-05,7.63079771536249e-05,4055.91325775526,9292.93241690978,0.480359939324213,0.501990721784006,4.369744631086e-05,6028.03038159188,0.723577330005279,122303.023666821,4.20656504769032e-05,2436.34564915001,0.723592167372739,122000.638863474,2.15181858180976e-06,3062.99682147568,0.000703503476610739,489.335047819786,3.85259089098262e-05,4.56053920439803e-05,-2602.28412217748,7474.9754204775,0.722434904153714,0.724749430591764,121195.682709811,122805.595017138,3.78480860565561e-05,4.62832148972504e-05,-3567.12812094232,8439.81941924234,0.722213300558582,0.724971034186896,121041.542169748,122959.735557201
"421","20160509_results","A2707","III",1,TRUE,"logistic",FALSE,FALSE,100,4.77768284435825e-05,10927.6887206682,0.394965597130855,96818.5030021337,1.16959638106728e-05,1162.27584946561,0.00417016585727077,2.85369679750258e-05,6.70166889121393e-05,9015.74494829731,12839.6324930392,0.388105674295645,0.401825519966066,2.48527393746638e-05,7.07009175125012e-05,8649.62805571564,13205.7493856208,0.386792072050605,0.403139122211106,4.41989785597527e-05,11203.0071414239,0.580306238051148,97075.4648276343,4.22641914639965e-05,8303.92563753203,0.578523199965066,96850.2674755141,2.38458567747014e-06,2370.86217290187,0.00262530423023504,337.292199037201,3.83415480245581e-05,4.61868349034349e-05,4403.85736310845,12203.9939119556,0.574204574506329,0.582841825423802,96295.4218080979,97405.1131429303,3.7590403536155e-05,4.6937979391838e-05,3657.03577864437,12950.8154964197,0.573377603673805,0.583668796256326,96189.1747654012,97511.3601856271
"422","20160509_results","A2707","III",3,TRUE,"logistic",FALSE,FALSE,100,4.00721518612333e-05,21500.6091154953,0.327633227954678,76864.4932962834,1.36657122815362e-05,1601.26758239584,0.00490080246660504,1.75920551581062e-05,6.25522485643604e-05,18866.5239424541,24134.6942885364,0.319571407897113,0.335695048012244,1.32873557894223e-05,6.68569479330443e-05,18362.1246539994,24639.0935769911,0.318027655120132,0.337238800789224,3.91189958852713e-05,22284.7145165565,0.583016619329485,77345.525481012,3.7469281373294e-05,21513.6459044559,0.579572030673893,77190.0036640817,2.35337805836841e-06,3821.80435720559,0.00579498023856091,239.258569380249,3.35979744672779e-05,4.134058827931e-05,15226.7777368527,27800.5140720591,0.57003928818146,0.589104773166326,76796.4233174512,77583.5840107122,3.28566603788919e-05,4.20819023676961e-05,14022.909364333,29004.3824445789,0.568213869406314,0.590930191941473,76721.0568680964,77658.950460067
"423","20160509_results","A2707","III",5,TRUE,"logistic",FALSE,FALSE,100,3.16045590667179e-05,38614.4854258544,0.370967299452997,80021.5956044521,8.10017220702632e-06,1726.48546603235,0.0052540242918492,1.82797757861596e-05,4.49293423472762e-05,35774.4168342312,41454.5540174776,0.362324429492905,0.379610169413089,1.57282215409463e-05,4.74808965924895e-05,35230.573912431,41998.3969392778,0.360669411840973,0.381265187065021,3.3574998055348e-05,41341.3283491179,0.581772818376735,81123.0308897226,3.31347615299165e-05,44682.9821365431,0.581485690679882,80899.4603851249,1.79377642195867e-06,4611.88320817575,0.000815045412886758,353.977415160423,3.01839993157945e-05,3.60855237440385e-05,37096.434259094,52269.5300139922,0.580144940975683,0.582826440384081,80317.167537186,81481.7532330638,2.96189597428775e-05,3.66505633169555e-05,35643.6910485186,53722.2732245675,0.579888201670624,0.58308317968914,80205.6646514105,81593.2561188394
"424","20160509_results","A2707","III",7,TRUE,"logistic",FALSE,FALSE,100,2.42036645159297e-05,77253.0429937072,0.336710403199808,59256.033113312,5.07841024131717e-06,1673.63791146184,0.00475491633647005,1.58496796689629e-05,3.25576493628964e-05,74499.9086293525,80006.177358062,0.328888565826314,0.344532240573301,1.4249980442948e-05,3.41573485889114e-05,73972.712687242,80533.3733001725,0.327390767180326,0.346030039219289,2.7884349674185e-05,80847.1149117177,0.50370970708655,60861.0587435337,2.79921129783115e-05,85937.255465489,0.503475264095933,60743.907205295,9.49664518079249e-07,5964.50565282466,0.000712101387349552,157.214122475216,2.64299148460711e-05,2.95543111105518e-05,76125.6436665924,95748.8672643855,0.502303857313743,0.504646670878123,60485.2899738232,61002.5244367667,2.61307705228761e-05,2.98534554337468e-05,74246.8243859526,97627.6865450253,0.502079545376728,0.504870982815138,60435.7675252435,61052.0468853464
"425","20160509_results","A2707","III",10,TRUE,"richards",FALSE,FALSE,100,1.45567811538454e-05,187544.386517398,0.312012964558567,21461.4967235432,4.41092707361989e-06,5581.70444263424,0.00472385822920722,7.3008061177407e-06,2.18127561899501e-05,178362.482709265,196726.290325531,0.304242217771521,0.319783711345612,5.91136408955043e-06,2.32021982181404e-05,176604.245809835,198484.527224961,0.30275420242932,0.321271726687813,1.25058089025859e-05,184944.703043312,0.394776441901768,21874.5219212259,1.29766846238277e-05,199218.297966287,0.394662184988618,21781.4381647976,6.13464277503662e-07,10133.0966500374,0.000637973884223339,159.924581428477,1.19675358873342e-05,1.39858333603212e-05,182549.353976975,215887.241955598,0.393612717949071,0.395711652028165,21518.3622283478,22044.5141012475,1.17742946399205e-05,1.41790746077349e-05,179357.428532214,219079.16740036,0.39341175617554,0.395912613801696,21467.9859851978,22094.8903443974
"426","20160509_results","A2707","III",14,FALSE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.39828965201238e-07,-4362.88063574521,0.0130807878985218,1401.22095048924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","20160509_results","A2707","III",20,FALSE,"logistic",FALSE,FALSE,100,2.65382172063717e-07,-24464.0975335684,0.0251368340064602,5773.126183434,2.97245106549307e-08,6536.31671806067,0.000350700783277479,2.16485352036356e-07,3.14278992091078e-07,-35216.3385347782,-13711.8565323586,0.0245599312179688,0.0257137367949517,2.07122131180053e-07,3.23642212947382e-07,-37275.2783009673,-11652.9167661695,0.0244494604712364,0.0258242075416841,9.96718893104628e-07,45809.6288282012,0.0320689484963438,5788.20671442599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","20160509_results","A2707","III",25,FALSE,"richards",FALSE,FALSE,100,2.25178673076234e-07,-50838.5177977434,0.0361909196185195,7039.64407632247,3.76243676630583e-08,8633.15840508943,0.00051487197473611,1.63286588270503e-07,2.87070757881965e-07,-65040.0633741155,-36636.9722213713,0.0353439552200786,0.0370378840169604,1.5143491245664e-07,2.98922433695828e-07,-67759.5082717187,-33917.5273237681,0.0351817705480368,0.0372000686890023,1.02292915148787e-06,28685.166566313,0.0346635575271254,7038.34798382693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","20160509_results","A2735","III",1,TRUE,"logistic",FALSE,FALSE,100,5.21565956057002e-05,9544.87130312749,0.382465758043851,94461.8677460087,2.30689737019238e-05,1863.04558971831,0.00683398558690774,1.42081338660356e-05,9.01050573453647e-05,6480.16130804087,12609.5812982141,0.371223851753388,0.393707664334314,6.9414071499296e-06,9.73717840614707e-05,5893.3019472796,13196.4406589754,0.369071146293512,0.39586036979419,4.41026605290473e-05,9943.91265807208,0.687927080612731,94674.9692423314,4.41486594904619e-05,11301.4818313427,0.687494954260949,94472.1085026963,1.81312986346245e-06,3945.60670049985,0.000870543816598521,388.397745889925,4.11660608650661e-05,4.71312581158576e-05,4810.9588090205,17792.004853665,0.686062909682644,0.688926998839253,93833.1942107074,95111.0227946853,4.05949249580755e-05,4.77023940228483e-05,3568.09269836305,19034.8709643224,0.685788688380416,0.689201220141482,93710.8489207521,95233.3680846406
"430","20160509_results","A2735","III",1,TRUE,"logistic",FALSE,FALSE,100,5.21757946755706e-05,9729.14294425984,0.373421707907207,92192.3275512638,2.53141531941233e-05,1994.59766561236,0.00722998545887824,1.05340126712378e-05,9.38175766799035e-05,6448.02978432751,13010.2561041922,0.361528381827352,0.385315033987061,2.560054415089e-06,0.000101791534936052,5819.73151965962,13638.5543688601,0.359250936407805,0.387592479406608,4.97954357092598e-05,10917.9316317325,0.684988990028002,92445.3599839017,4.91197015182185e-05,12049.9434231248,0.684725029343757,92289.2016889419,2.72413904326061e-06,3462.46150415606,0.000693367381571174,258.735473288033,4.46384927920548e-05,5.36009102443822e-05,6354.19424878804,17745.6925974615,0.683584440001072,0.685865618686441,91863.5818353831,92714.8215425008,4.37803889934277e-05,5.44590140430093e-05,5263.51887497888,18836.3679712706,0.683366029275877,0.686084029411636,91782.0801612974,92796.3232165865
"431","20160509_results","A2735","III",1,TRUE,"logistic",FALSE,FALSE,100,5.23396152590012e-05,9654.85099911764,0.386512495731573,95408.8012824194,2.28590495755062e-05,1852.57568353946,0.00684601533277027,1.47364787072935e-05,8.99427518107089e-05,6607.36399969522,12702.3379985401,0.375250800509165,0.39777419095398,7.53587809100904e-06,9.71433524269934e-05,6023.80265938029,13285.899338855,0.373094305679343,0.399930685783802,4.46800692728824e-05,9722.26999316868,0.691616002492655,95628.8999643247,4.52123434476584e-05,9008.60578259985,0.691195296743216,95447.6257280818,3.56580694118579e-06,3376.86641220265,0.00133064202381407,298.740965118668,3.93465910294078e-05,5.1078095865909e-05,3453.66053452649,14563.5510306732,0.689006390614042,0.69338420287239,94956.1968404616,95939.054615702,3.82233618429342e-05,5.22013250523825e-05,2389.94761468266,15627.263950517,0.688587238376541,0.693803355109892,94862.0934364492,96033.1580197144
